source_video,error_type,frame_index,timestamp_sec,label,pred_label,prob_incorrect,exported_frame,export_success
dataset\external_videos\correct\P06_correct_side_90_001.mp4,false_positive,2240,74.726842,0,1,0.956,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_001_11_frame_2240.jpg,True
dataset\external_videos\correct\P06_correct_side_90_001.mp4,false_positive,2268,75.660928,0,1,0.952,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_001_12_frame_2268.jpg,True
dataset\external_videos\correct\P06_correct_side_90_002.mp4,false_positive,2212,73.884198,0,1,0.932,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_002_01_frame_2212.jpg,True
dataset\external_videos\correct\P06_correct_side_90_002.mp4,false_positive,2184,72.948955,0,1,0.928,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_002_02_frame_2184.jpg,True
dataset\external_videos\correct\P06_correct_side_90_002.mp4,false_positive,2058,68.740361,0,1,0.924,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_002_03_frame_2058.jpg,True
dataset\external_videos\correct\P06_correct_side_90_002.mp4,false_positive,2198,73.416576,0,1,0.924,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_002_04_frame_2198.jpg,True
dataset\external_videos\correct\P06_correct_side_90_002.mp4,false_positive,1876,62.661282,0,1,0.924,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_002_05_frame_1876.jpg,True
dataset\external_videos\correct\P06_correct_side_90_002.mp4,false_positive,1890,63.128903,0,1,0.924,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_002_06_frame_1890.jpg,True
dataset\external_videos\correct\P06_correct_side_90_002.mp4,false_positive,2114,70.610847,0,1,0.924,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_002_07_frame_2114.jpg,True
dataset\external_videos\correct\P06_correct_side_90_002.mp4,false_positive,2100,70.143226,0,1,0.924,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_002_08_frame_2100.jpg,True
dataset\external_videos\correct\P06_correct_side_90_002.mp4,false_positive,2086,69.675604,0,1,0.924,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_002_09_frame_2086.jpg,True
dataset\external_videos\correct\P06_correct_side_90_002.mp4,false_positive,2072,69.207983,0,1,0.924,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_002_10_frame_2072.jpg,True
dataset\external_videos\correct\P06_correct_side_90_002.mp4,false_positive,2226,74.351819,0,1,0.92,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_002_11_frame_2226.jpg,True
dataset\external_videos\correct\P06_correct_side_90_002.mp4,false_positive,1470,49.100258,0,1,0.92,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_002_12_frame_1470.jpg,True
dataset\external_videos\correct\P07_correct_side_90_003.mp4,false_positive,938,31.291657,0,1,0.9,reports\figures\model_improvement_error_frames\false_positive\P07_correct_side_90_003_01_frame_938.jpg,True
dataset\external_videos\correct\P07_correct_side_90_003.mp4,false_positive,896,29.890538,0,1,0.892,reports\figures\model_improvement_error_frames\false_positive\P07_correct_side_90_003_02_frame_896.jpg,True
dataset\external_videos\correct\P07_correct_side_90_003.mp4,false_positive,770,25.687181,0,1,0.888,reports\figures\model_improvement_error_frames\false_positive\P07_correct_side_90_003_03_frame_770.jpg,True
dataset\external_videos\correct\P07_correct_side_90_003.mp4,false_positive,1400,46.703965,0,1,0.88,reports\figures\model_improvement_error_frames\false_positive\P07_correct_side_90_003_04_frame_1400.jpg,True
dataset\external_videos\correct\P07_correct_side_90_003.mp4,false_positive,868,28.956459,0,1,0.876,reports\figures\model_improvement_error_frames\false_positive\P07_correct_side_90_003_05_frame_868.jpg,True
dataset\external_videos\correct\P07_correct_side_90_003.mp4,false_positive,1974,65.852591,0,1,0.876,reports\figures\model_improvement_error_frames\false_positive\P07_correct_side_90_003_06_frame_1974.jpg,True
dataset\external_videos\correct\P07_correct_side_90_003.mp4,false_positive,1288,42.967648,0,1,0.868,reports\figures\model_improvement_error_frames\false_positive\P07_correct_side_90_003_07_frame_1288.jpg,True
dataset\external_videos\correct\P07_correct_side_90_003.mp4,false_positive,2212,73.792265,0,1,0.868,reports\figures\model_improvement_error_frames\false_positive\P07_correct_side_90_003_08_frame_2212.jpg,True
dataset\external_videos\correct\P07_correct_side_90_003.mp4,false_positive,1890,63.050353,0,1,0.868,reports\figures\model_improvement_error_frames\false_positive\P07_correct_side_90_003_09_frame_1890.jpg,True
dataset\external_videos\correct\P07_correct_side_90_003.mp4,false_positive,392,13.07711,0,1,0.864,reports\figures\model_improvement_error_frames\false_positive\P07_correct_side_90_003_10_frame_392.jpg,True
dataset\external_videos\correct\P07_correct_side_90_003.mp4,false_positive,1470,49.039164,0,1,0.86,reports\figures\model_improvement_error_frames\false_positive\P07_correct_side_90_003_11_frame_1470.jpg,True
dataset\external_videos\correct\P07_correct_side_90_003.mp4,false_positive,1568,52.308441,0,1,0.86,reports\figures\model_improvement_error_frames\false_positive\P07_correct_side_90_003_12_frame_1568.jpg,True
dataset\external_videos\correct\P06_correct_side_30_001.mp4,false_positive,1484,49.535726,0,1,0.896,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_30_001_01_frame_1484.jpg,True
dataset\external_videos\correct\P06_correct_side_30_001.mp4,false_positive,1498,50.003044,0,1,0.856,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_30_001_02_frame_1498.jpg,True
dataset\external_videos\correct\P06_correct_side_30_001.mp4,false_positive,1470,49.068408,0,1,0.776,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_30_001_03_frame_1470.jpg,True
dataset\external_videos\correct\P06_correct_side_30_001.mp4,false_positive,1134,37.852772,0,1,0.712,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_30_001_04_frame_1134.jpg,True
dataset\external_videos\correct\P06_correct_side_30_001.mp4,false_positive,1148,38.32009,0,1,0.656,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_30_001_05_frame_1148.jpg,True
dataset\external_videos\correct\P06_correct_side_30_001.mp4,false_positive,1078,35.983499,0,1,0.652,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_30_001_06_frame_1078.jpg,True
dataset\external_videos\correct\P06_correct_side_30_001.mp4,false_positive,1120,37.385454,0,1,0.648,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_30_001_07_frame_1120.jpg,True
dataset\external_videos\correct\P06_correct_side_30_001.mp4,false_positive,1092,36.450817,0,1,0.636,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_30_001_08_frame_1092.jpg,True
dataset\external_videos\correct\P06_correct_side_30_001.mp4,false_positive,1106,36.918135,0,1,0.632,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_30_001_09_frame_1106.jpg,True
dataset\external_videos\correct\P06_correct_side_30_001.mp4,false_positive,1442,48.133772,0,1,0.62,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_30_001_10_frame_1442.jpg,True
dataset\external_videos\correct\P06_correct_side_30_001.mp4,false_positive,1064,35.516181,0,1,0.608,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_30_001_11_frame_1064.jpg,True
dataset\external_videos\correct\P06_correct_side_30_001.mp4,false_positive,966,32.244954,0,1,0.6,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_30_001_12_frame_966.jpg,True
dataset\external_videos\correct\P06_correct_front_001.mp4,false_positive,1610,53.779589,0,1,0.588,reports\figures\model_improvement_error_frames\false_positive\P06_correct_front_001_01_frame_1610.jpg,True
dataset\external_videos\correct\P06_correct_front_001.mp4,false_positive,1582,52.844292,0,1,0.564,reports\figures\model_improvement_error_frames\false_positive\P06_correct_front_001_02_frame_1582.jpg,True
dataset\external_videos\correct\P06_correct_front_001.mp4,false_positive,1596,53.31194,0,1,0.564,reports\figures\model_improvement_error_frames\false_positive\P06_correct_front_001_03_frame_1596.jpg,True
dataset\external_videos\correct\P06_correct_front_001.mp4,false_positive,1792,59.859021,0,1,0.56,reports\figures\model_improvement_error_frames\false_positive\P06_correct_front_001_04_frame_1792.jpg,True
dataset\external_videos\correct\P06_correct_front_001.mp4,false_positive,1680,56.117832,0,1,0.56,reports\figures\model_improvement_error_frames\false_positive\P06_correct_front_001_05_frame_1680.jpg,True
dataset\external_videos\correct\P06_correct_front_001.mp4,false_positive,1666,55.650183,0,1,0.556,reports\figures\model_improvement_error_frames\false_positive\P06_correct_front_001_06_frame_1666.jpg,True
dataset\external_videos\correct\P06_correct_front_001.mp4,false_positive,1694,56.585481,0,1,0.556,reports\figures\model_improvement_error_frames\false_positive\P06_correct_front_001_07_frame_1694.jpg,True
dataset\external_videos\correct\P06_correct_front_001.mp4,false_positive,1652,55.182535,0,1,0.548,reports\figures\model_improvement_error_frames\false_positive\P06_correct_front_001_08_frame_1652.jpg,True
dataset\external_videos\correct\P06_correct_front_001.mp4,false_positive,2142,71.550236,0,1,0.544,reports\figures\model_improvement_error_frames\false_positive\P06_correct_front_001_09_frame_2142.jpg,True
dataset\external_videos\correct\P06_correct_front_001.mp4,false_positive,1708,57.053129,0,1,0.544,reports\figures\model_improvement_error_frames\false_positive\P06_correct_front_001_10_frame_1708.jpg,True
dataset\external_videos\correct\P06_correct_front_001.mp4,false_positive,2156,72.017884,0,1,0.528,reports\figures\model_improvement_error_frames\false_positive\P06_correct_front_001_11_frame_2156.jpg,True
dataset\external_videos\correct\P06_correct_front_001.mp4,false_positive,2170,72.485533,0,1,0.524,reports\figures\model_improvement_error_frames\false_positive\P06_correct_front_001_12_frame_2170.jpg,True
dataset\external_videos\correct\P07_correct_side_90_001.mp4,false_positive,1554,51.840732,0,1,0.8,reports\figures\model_improvement_error_frames\false_positive\P07_correct_side_90_001_01_frame_1554.jpg,True
dataset\external_videos\correct\P07_correct_side_90_001.mp4,false_positive,1568,52.307766,0,1,0.768,reports\figures\model_improvement_error_frames\false_positive\P07_correct_side_90_001_02_frame_1568.jpg,True
dataset\external_videos\correct\P07_correct_side_90_001.mp4,false_positive,1540,51.373698,0,1,0.68,reports\figures\model_improvement_error_frames\false_positive\P07_correct_side_90_001_03_frame_1540.jpg,True
dataset\external_videos\correct\P07_correct_side_90_001.mp4,false_positive,1582,52.774799,0,1,0.524,reports\figures\model_improvement_error_frames\false_positive\P07_correct_side_90_001_04_frame_1582.jpg,True
dataset\external_videos\correct\P07_correct_front_001.mp4,false_positive,14,0.467299,0,1,0.568,reports\figures\model_improvement_error_frames\false_positive\P07_correct_front_001_01_frame_14.jpg,True
dataset\external_videos\correct\P07_correct_front_001.mp4,false_positive,28,0.934599,0,1,0.552,reports\figures\model_improvement_error_frames\false_positive\P07_correct_front_001_02_frame_28.jpg,True
dataset\external_videos\correct\P07_correct_front_001.mp4,false_positive,0,0.0,0,1,0.54,reports\figures\model_improvement_error_frames\false_positive\P07_correct_front_001_03_frame_0.jpg,True
dataset\external_videos\correct\P06_correct_front_002.mp4,false_positive,1372,45.841386,0,1,0.844,reports\figures\model_improvement_error_frames\false_positive\P06_correct_front_002_01_frame_1372.jpg,True
dataset\external_videos\correct\P06_correct_front_002.mp4,false_positive,1386,46.309155,0,1,0.8,reports\figures\model_improvement_error_frames\false_positive\P06_correct_front_002_02_frame_1386.jpg,True
dataset\external_videos\correct\P06_correct_front_002.mp4,false_positive,756,25.259539,0,1,0.508,reports\figures\model_improvement_error_frames\false_positive\P06_correct_front_002_03_frame_756.jpg,True
