dataset_split,source_video,file_name,label,label_name,participant_id,view_angle,camera_type,duration_sec,fps,width,height,total_frames,file_size_mb,sha256,notes
raw,dataset/raw_videos/correct/P01_correct_side_90_004.mp4,P01_correct_side_90_004.mp4,0,correct,P01,side_90,training_video,116.263,30.001,1280,720,3488,169.573,,
raw,dataset/raw_videos/correct/P01_correct_side_90_005.mp4,P01_correct_side_90_005.mp4,0,correct,P01,side_90,training_video,95.696,30.001,1280,720,2871,139.915,,
raw,dataset/raw_videos/correct/P02_correct_front_001.mp4,P02_correct_front_001.mp4,0,correct,P02,front,training_video,61.527,29.971,1920,1080,1844,422.482,,
raw,dataset/raw_videos/correct/P02_correct_side_30_001.mp4,P02_correct_side_30_001.mp4,0,correct,P02,side_30,training_video,55.18,29.938,1920,1080,1652,377.118,,
raw,dataset/raw_videos/correct/P02_correct_side_90_001.mp4,P02_correct_side_90_001.mp4,0,correct,P02,side_90,training_video,55.89,29.969,1920,1080,1675,382.678,,
raw,dataset/raw_videos/correct/P02_correct_side_90_002.mp4,P02_correct_side_90_002.mp4,0,correct,P02,side_90,training_video,56.752,29.937,1920,1080,1699,389.485,,
raw,dataset/raw_videos/correct/P03_correct_front_001.mp4,P03_correct_front_001.mp4,0,correct,P03,front,training_video,66.034,30.0,1920,1080,1981,455.42,,
raw,dataset/raw_videos/correct/P03_correct_side_30_001.mp4,P03_correct_side_30_001.mp4,0,correct,P03,side_30,training_video,44.157,29.916,1920,1080,1321,301.088,,
raw,dataset/raw_videos/correct/P03_correct_side_30_002.mp4,P03_correct_side_30_002.mp4,0,correct,P03,side_30,training_video,52.873,29.939,1920,1080,1583,360.829,,
raw,dataset/raw_videos/correct/P03_correct_side_90_001.mp4,P03_correct_side_90_001.mp4,0,correct,P03,side_90,training_video,48.962,29.921,1920,1080,1465,334.012,,
raw,dataset/raw_videos/correct/P03_correct_side_90_002.mp4,P03_correct_side_90_002.mp4,0,correct,P03,side_90,training_video,61.189,29.956,1920,1080,1833,418.85,,
raw,dataset/raw_videos/correct/P03_correct_side_90_003.mp4,P03_correct_side_90_003.mp4,0,correct,P03,side_90,training_video,43.298,29.909,1920,1080,1295,297.366,,
raw,dataset/raw_videos/correct/P04_correct_front_001.mp4,P04_correct_front_001.mp4,0,correct,P04,front,training_video,41.32,29.937,1920,1080,1237,283.159,,
raw,dataset/raw_videos/correct/P04_correct_front_002.mp4,P04_correct_front_002.mp4,0,correct,P04,front,training_video,69.582,29.936,1920,1080,2083,477.65,,
raw,dataset/raw_videos/correct/P04_correct_side_30_001.mp4,P04_correct_side_30_001.mp4,0,correct,P04,side_30,training_video,65.883,29.962,1920,1080,1974,451.693,,
raw,dataset/raw_videos/correct/P04_correct_side_30_002.mp4,P04_correct_side_30_002.mp4,0,correct,P04,side_30,training_video,62.443,29.947,1920,1080,1870,429.31,,
raw,dataset/raw_videos/correct/P04_correct_side_90_001.mp4,P04_correct_side_90_001.mp4,0,correct,P04,side_90,training_video,63.19,29.957,1920,1080,1893,433.911,,
raw,dataset/raw_videos/correct/P04_correct_side_90_002.mp4,P04_correct_side_90_002.mp4,0,correct,P04,side_90,training_video,52.613,29.955,1920,1080,1576,360.064,,
raw,dataset/raw_videos/correct/P04_correct_side_90_003.mp4,P04_correct_side_90_003.mp4,0,correct,P04,side_90,training_video,56.768,29.946,1920,1080,1700,389.494,,
raw,dataset/raw_videos/correct/P05_correct_front_001.mp4,P05_correct_front_001.mp4,0,correct,P05,front,training_video,29.845,29.888,1920,1080,892,202.493,,
raw,dataset/raw_videos/correct/P05_correct_front_002.mp4,P05_correct_front_002.mp4,0,correct,P05,front,training_video,88.757,29.958,1920,1080,2659,610.968,,
raw,dataset/raw_videos/correct/P05_correct_side_30_001.mp4,P05_correct_side_30_001.mp4,0,correct,P05,side_30,training_video,62.046,29.946,1920,1080,1858,425.136,,
raw,dataset/raw_videos/correct/P05_correct_side_30_002.mp4,P05_correct_side_30_002.mp4,0,correct,P05,side_30,training_video,13.197,29.704,1920,1080,392,85.912,,
raw,dataset/raw_videos/correct/P05_correct_side_90_001.mp4,P05_correct_side_90_001.mp4,0,correct,P05,side_90,training_video,66.603,29.984,1920,1080,1997,458.32,,
raw,dataset/raw_videos/correct/P05_correct_side_90_002.mp4,P05_correct_side_90_002.mp4,0,correct,P05,side_90,training_video,49.025,29.944,1920,1080,1468,336.145,,
raw,dataset/raw_videos/correct/P05_correct_side_90_003.mp4,P05_correct_side_90_003.mp4,0,correct,P05,side_90,training_video,65.564,30.001,1280,720,1967,95.903,,
raw,dataset/raw_videos/correct/P05_correct_side_90_004.mp4,P05_correct_side_90_004.mp4,0,correct,P05,side_90,training_video,7.933,30.001,1280,720,238,11.619,,
raw,dataset/raw_videos/incorrect/P01_incorrect_001.mp4,P01_incorrect_001.mp4,1,incorrect,P01,unknown,training_video,72.416,29.966,1920,1080,2170,149.319,,
raw,dataset/raw_videos/incorrect/P01_incorrect_002.mp4,P01_incorrect_002.mp4,1,incorrect,P01,unknown,training_video,76.544,29.956,1920,1080,2293,157.686,,
raw,dataset/raw_videos/incorrect/P01_incorrect_003.mp4,P01_incorrect_003.mp4,1,incorrect,P01,unknown,training_video,97.304,29.947,1920,1080,2914,200.791,,
raw,dataset/raw_videos/incorrect/P01_incorrect_004.mp4,P01_incorrect_004.mp4,1,incorrect,P01,unknown,training_video,93.299,29.947,1920,1080,2794,192.041,,
raw,dataset/raw_videos/incorrect/P01_incorrect_005.mp4,P01_incorrect_005.mp4,1,incorrect,P01,unknown,training_video,75.73,29.962,1920,1080,2269,156.319,,
raw,dataset/raw_videos/incorrect/P01_incorrect_front_001.mp4,P01_incorrect_front_001.mp4,1,incorrect,P01,front,training_video,145.957,29.968,1920,1080,4374,1005.776,,
raw,dataset/raw_videos/incorrect/P01_incorrect_front_002.mp4,P01_incorrect_front_002.mp4,1,incorrect,P01,front,training_video,71.92,29.964,1920,1080,2155,495.27,,
raw,dataset/raw_videos/incorrect/P01_incorrect_side_30_001.mp4,P01_incorrect_side_30_001.mp4,1,incorrect,P01,side_30,training_video,125.093,30.002,1920,1080,3753,861.718,,
raw,dataset/raw_videos/incorrect/P01_incorrect_side_30_002.mp4,P01_incorrect_side_30_002.mp4,1,incorrect,P01,side_30,training_video,70.075,29.954,1920,1080,2099,479.86,,
raw,dataset/raw_videos/incorrect/P01_incorrect_side_90_001.mp4,P01_incorrect_side_90_001.mp4,1,incorrect,P01,side_90,training_video,76.469,29.973,1920,1080,2292,524.192,,
raw,dataset/raw_videos/incorrect/P01_incorrect_side_90_002.mp4,P01_incorrect_side_90_002.mp4,1,incorrect,P01,side_90,training_video,3.404,29.08,1920,1080,99,20.744,,
raw,dataset/raw_videos/incorrect/P01_incorrect_side_90_003.mp4,P01_incorrect_side_90_003.mp4,1,incorrect,P01,side_90,training_video,138.284,29.982,1920,1080,4146,952.313,,
raw,dataset/raw_videos/incorrect/P01_incorrect_side_90_004.mp4,P01_incorrect_side_90_004.mp4,1,incorrect,P01,side_90,training_video,77.037,29.973,1920,1080,2309,527.479,,
raw,dataset/raw_videos/incorrect/P01_incorrect_side_90_005.mp4,P01_incorrect_side_90_005.mp4,1,incorrect,P01,side_90,training_video,152.695,30.001,1280,720,4581,223.317,,
raw,dataset/raw_videos/incorrect/P01_incorrect_side_90_006.mp4,P01_incorrect_side_90_006.mp4,1,incorrect,P01,side_90,training_video,88.896,30.001,1280,720,2667,129.949,,
raw,dataset/raw_videos/incorrect/P02_incorrect_front_001.mp4,P02_incorrect_front_001.mp4,1,incorrect,P02,front,training_video,62.212,29.946,1920,1080,1863,427.986,,
raw,dataset/raw_videos/incorrect/P02_incorrect_front_002.mp4,P02_incorrect_front_002.mp4,1,incorrect,P02,front,training_video,61.953,29.942,1920,1080,1855,425.315,,
raw,dataset/raw_videos/incorrect/P02_incorrect_side_30_001.mp4,P02_incorrect_side_30_001.mp4,1,incorrect,P02,side_30,training_video,55.37,29.962,1920,1080,1659,379.449,,
raw,dataset/raw_videos/incorrect/P02_incorrect_side_30_002.mp4,P02_incorrect_side_30_002.mp4,1,incorrect,P02,side_30,training_video,22.723,29.838,1920,1080,678,152.819,,
raw,dataset/raw_videos/incorrect/P02_incorrect_side_90_001.mp4,P02_incorrect_side_90_001.mp4,1,incorrect,P02,side_90,training_video,57.902,29.947,1920,1080,1734,396.593,,
raw,dataset/raw_videos/incorrect/P02_incorrect_side_90_002.mp4,P02_incorrect_side_90_002.mp4,1,incorrect,P02,side_90,training_video,19.06,29.801,1920,1080,568,127.232,,
raw,dataset/raw_videos/incorrect/P02_incorrect_side_90_003.mp4,P02_incorrect_side_90_003.mp4,1,incorrect,P02,side_90,training_video,62.202,29.951,1920,1080,1863,426.804,,
raw,dataset/raw_videos/incorrect/P03_incorrect_front_001.mp4,P03_incorrect_front_001.mp4,1,incorrect,P03,front,training_video,49.748,29.931,1920,1080,1489,340.768,,
raw,dataset/raw_videos/incorrect/P03_incorrect_front_002.mp4,P03_incorrect_front_002.mp4,1,incorrect,P03,front,training_video,69.377,29.952,1920,1080,2078,477.404,,
raw,dataset/raw_videos/incorrect/P03_incorrect_front_003.mp4,P03_incorrect_front_003.mp4,1,incorrect,P03,front,training_video,67.114,29.934,1920,1080,2009,461.313,,
raw,dataset/raw_videos/incorrect/P03_incorrect_front_005.mp4,P03_incorrect_front_005.mp4,1,incorrect,P03,front,training_video,56.27,29.963,1920,1080,1686,387.291,,
raw,dataset/raw_videos/incorrect/P03_incorrect_front_006.mp4,P03_incorrect_front_006.mp4,1,incorrect,P03,front,training_video,63.984,29.961,1920,1080,1917,439.837,,
raw,dataset/raw_videos/incorrect/P03_incorrect_side_30_001.mp4,P03_incorrect_side_30_001.mp4,1,incorrect,P03,side_30,training_video,66.057,29.959,1920,1080,1979,453.399,,
raw,dataset/raw_videos/incorrect/P03_incorrect_side_90_001.mp4,P03_incorrect_side_90_001.mp4,1,incorrect,P03,side_90,training_video,46.879,29.928,1920,1080,1403,319.513,,
raw,dataset/raw_videos/incorrect/P03_incorrect_side_90_002.mp4,P03_incorrect_side_90_002.mp4,1,incorrect,P03,side_90,training_video,52.961,29.947,1920,1080,1586,362.729,,
raw,dataset/raw_videos/incorrect/P03_incorrect_side_90_003.mp4,P03_incorrect_side_90_003.mp4,1,incorrect,P03,side_90,training_video,65.824,29.959,1920,1080,1972,449.795,,
raw,dataset/raw_videos/incorrect/P03_incorrect_side_90_004.mp4,P03_incorrect_side_90_004.mp4,1,incorrect,P03,side_90,training_video,44.144,29.902,1920,1080,1320,300.265,,
raw,dataset/raw_videos/incorrect/P03_incorrect_side_90_005.mp4,P03_incorrect_side_90_005.mp4,1,incorrect,P03,side_90,training_video,59.17,29.947,1920,1080,1772,404.84,,
raw,dataset/raw_videos/incorrect/P03_incorrect_side_90_006.mp4,P03_incorrect_side_90_006.mp4,1,incorrect,P03,side_90,training_video,70.519,29.963,1920,1080,2113,483.606,,
raw,dataset/raw_videos/incorrect/P04_incorrect_front_001.mp4,P04_incorrect_front_001.mp4,1,incorrect,P04,front,training_video,72.503,29.971,1920,1080,2173,500.847,,
raw,dataset/raw_videos/incorrect/P04_incorrect_side_30_001.mp4,P04_incorrect_side_30_001.mp4,1,incorrect,P04,side_30,training_video,36.95,29.906,1920,1080,1105,251.317,,
raw,dataset/raw_videos/incorrect/P04_incorrect_side_90_001.mp4,P04_incorrect_side_90_001.mp4,1,incorrect,P04,side_90,training_video,45.625,29.918,1920,1080,1365,310.706,,
raw,dataset/raw_videos/incorrect/P04_incorrect_side_90_002.mp4,P04_incorrect_side_90_002.mp4,1,incorrect,P04,side_90,training_video,64.968,29.953,1920,1080,1946,444.95,,
raw,dataset/raw_videos/incorrect/P04_incorrect_side_90_003.mp4,P04_incorrect_side_90_003.mp4,1,incorrect,P04,side_90,training_video,17.31,29.809,1920,1080,516,115.927,,
raw,dataset/raw_videos/incorrect/P04_incorrect_side_90_004.mp4,P04_incorrect_side_90_004.mp4,1,incorrect,P04,side_90,training_video,32.194,29.913,1920,1080,963,219.233,,
raw,dataset/raw_videos/incorrect/P04_incorrect_side_90_005.mp4,P04_incorrect_side_90_005.mp4,1,incorrect,P04,side_90,training_video,28.818,29.877,1920,1080,861,196.124,,
raw,dataset/raw_videos/incorrect/P04_incorrect_side_90_006.mp4,P04_incorrect_side_90_006.mp4,1,incorrect,P04,side_90,training_video,61.41,29.946,1920,1080,1839,420.326,,
raw,dataset/raw_videos/incorrect/P04_incorrect_side_90_007.mp4,P04_incorrect_side_90_007.mp4,1,incorrect,P04,side_90,training_video,73.906,29.957,1920,1080,2214,507.967,,
raw,dataset/raw_videos/incorrect/P05_incorrect_front_001.mp4,P05_incorrect_front_001.mp4,1,incorrect,P05,front,training_video,78.518,29.968,1920,1080,2353,540.814,,
raw,dataset/raw_videos/incorrect/P05_incorrect_front_002.mp4,P05_incorrect_front_002.mp4,1,incorrect,P05,front,training_video,65.804,29.952,1920,1080,1971,451.193,,
raw,dataset/raw_videos/incorrect/P05_incorrect_front_003.mp4,P05_incorrect_front_003.mp4,1,incorrect,P05,front,training_video,36.322,29.899,1920,1080,1086,248.125,,
raw,dataset/raw_videos/incorrect/P05_incorrect_front_004.mp4,P05_incorrect_front_004.mp4,1,incorrect,P05,front,training_video,36.604,29.915,1920,1080,1095,249.965,,
raw,dataset/raw_videos/incorrect/P05_incorrect_front_005.mp4,P05_incorrect_front_005.mp4,1,incorrect,P05,front,training_video,50.583,29.931,1920,1080,1514,346.521,,
raw,dataset/raw_videos/incorrect/P05_incorrect_side_30_001.mp4,P05_incorrect_side_30_001.mp4,1,incorrect,P05,side_30,training_video,64.501,29.922,1920,1080,1930,444.059,,
raw,dataset/raw_videos/incorrect/P05_incorrect_side_30_002.mp4,P05_incorrect_side_30_002.mp4,1,incorrect,P05,side_30,training_video,63.716,29.945,1920,1080,1908,436.832,,
raw,dataset/raw_videos/incorrect/P05_incorrect_side_30_003.mp4,P05_incorrect_side_30_003.mp4,1,incorrect,P05,side_30,training_video,51.531,29.962,1920,1080,1544,352.966,,
raw,dataset/raw_videos/incorrect/P05_incorrect_side_90_001.mp4,P05_incorrect_side_90_001.mp4,1,incorrect,P05,side_90,training_video,65.825,29.958,1920,1080,1972,449.858,,
raw,dataset/raw_videos/incorrect/P05_incorrect_side_90_002.mp4,P05_incorrect_side_90_002.mp4,1,incorrect,P05,side_90,training_video,63.243,29.948,1920,1080,1894,433.797,,
raw,dataset/raw_videos/incorrect/P05_incorrect_side_90_003.mp4,P05_incorrect_side_90_003.mp4,1,incorrect,P05,side_90,training_video,21.034,29.81,1920,1080,627,140.997,,
raw,dataset/raw_videos/incorrect/P05_incorrect_side_90_004.mp4,P05_incorrect_side_90_004.mp4,1,incorrect,P05,side_90,training_video,78.263,30.001,1280,720,2348,114.547,,
external,dataset/external_videos/correct/P06_correct_front_001.mp4,P06_correct_front_001.mp4,0,correct,P06,front,external_video,83.609,29.937,1920,1080,2503,172.332,,
external,dataset/external_videos/correct/P06_correct_front_002.mp4,P06_correct_front_002.mp4,0,correct,P06,front,external_video,46.71,29.929,1920,1080,1398,96.381,,
external,dataset/external_videos/correct/P06_correct_side_30_001.mp4,P06_correct_side_30_001.mp4,0,correct,P06,side_30,external_video,73.235,29.958,1920,1080,2194,151.22,,
external,dataset/external_videos/correct/P06_correct_side_90_001.mp4,P06_correct_side_90_001.mp4,0,correct,P06,side_90,external_video,88.638,29.976,1920,1080,2657,182.933,,
external,dataset/external_videos/correct/P06_correct_side_90_002.mp4,P06_correct_side_90_002.mp4,0,correct,P06,side_90,external_video,74.419,29.939,1920,1080,2228,153.81,,
external,dataset/external_videos/correct/P07_correct_front_001.mp4,P07_correct_front_001.mp4,0,correct,P07,front,external_video,100.102,29.959,1920,1080,2999,205.87,,
external,dataset/external_videos/correct/P07_correct_side_30_001.mp4,P07_correct_side_30_001.mp4,0,correct,P07,side_30,external_video,91.6,29.967,1920,1080,2745,188.688,,
external,dataset/external_videos/correct/P07_correct_side_30_002.mp4,P07_correct_side_30_002.mp4,0,correct,P07,side_30,external_video,62.148,29.945,1920,1080,1861,128.26,,
external,dataset/external_videos/correct/P07_correct_side_90_001.mp4,P07_correct_side_90_001.mp4,0,correct,P07,side_90,external_video,97.477,29.976,1920,1080,2922,200.882,,
external,dataset/external_videos/correct/P07_correct_side_90_002.mp4,P07_correct_side_90_002.mp4,0,correct,P07,side_90,external_video,107.8,29.972,1920,1080,3231,221.891,,
external,dataset/external_videos/correct/P07_correct_side_90_003.mp4,P07_correct_side_90_003.mp4,0,correct,P07,side_90,external_video,107.853,29.976,1920,1080,3233,222.075,,
external,dataset/external_videos/incorrect/P06_incorrect_front_001.mp4,P06_incorrect_front_001.mp4,1,incorrect,P06,front,external_video,109.241,29.961,1920,1080,3273,225.002,,
external,dataset/external_videos/incorrect/P06_incorrect_side_30_001.mp4,P06_incorrect_side_30_001.mp4,1,incorrect,P06,side_30,external_video,101.64,29.949,1920,1080,3044,209.6,,
external,dataset/external_videos/incorrect/P06_incorrect_side_30_002.mp4,P06_incorrect_side_30_002.mp4,1,incorrect,P06,side_30,external_video,89.631,29.967,1920,1080,2686,184.199,,
external,dataset/external_videos/incorrect/P06_incorrect_side_90_001.mp4,P06_incorrect_side_90_001.mp4,1,incorrect,P06,side_90,external_video,84.274,29.95,1920,1080,2524,173.634,,
external,dataset/external_videos/incorrect/P06_incorrect_side_90_002.mp4,P06_incorrect_side_90_002.mp4,1,incorrect,P06,side_90,external_video,106.07,29.98,1920,1080,3180,218.34,,
external,dataset/external_videos/incorrect/P07_incorrect_front_001.mp4,P07_incorrect_front_001.mp4,1,incorrect,P07,front,external_video,78.49,29.915,1920,1080,2348,161.87,,
external,dataset/external_videos/incorrect/P07_incorrect_front_002.mp4,P07_incorrect_front_002.mp4,1,incorrect,P07,front,external_video,93.56,29.938,1920,1080,2801,192.582,,
external,dataset/external_videos/incorrect/P07_incorrect_front_003.mp4,P07_incorrect_front_003.mp4,1,incorrect,P07,front,external_video,95.919,29.963,1920,1080,2874,197.568,,
external,dataset/external_videos/incorrect/P07_incorrect_side_30_001.mp4,P07_incorrect_side_30_001.mp4,1,incorrect,P07,side_30,external_video,98.096,29.971,1920,1080,2940,201.991,,
external,dataset/external_videos/incorrect/P07_incorrect_side_30_002.mp4,P07_incorrect_side_30_002.mp4,1,incorrect,P07,side_30,external_video,111.088,29.958,1920,1080,3328,228.7,,
external,dataset/external_videos/incorrect/P07_incorrect_side_90_001.mp4,P07_incorrect_side_90_001.mp4,1,incorrect,P07,side_90,external_video,109.243,29.979,1920,1080,3275,225.043,,
external,dataset/external_videos/incorrect/P07_incorrect_side_90_002.mp4,P07_incorrect_side_90_002.mp4,1,incorrect,P07,side_90,external_video,114.82,29.977,1920,1080,3442,236.355,,
